1;2016 August 27;12:50:44;3.8;95.8;
2;2016 October 19;18:10:54;4.7;347.7;
3;2016 December 11;17:03:41;5.6;5.5;S/C safing event
4;2017 February 2;12:57:09;6.6;274.9;MWR orbit
5;2017 March 27;8:51:52;7.5;184.9;MWR tilt orbit
6;2017 May 19;6:00:47;8.5;139.8;GRAV orbit
7;2017 July 11;5:54:42;9.5;49.4;MWR orbit
8;2017 September 1;21:48:50;10.4;319;GRAV orbit
9;2017 October 24;17:42:31;11.3;228.4;MWR tilt orbit
10;2017 December 16;17:56:59;12.2;295.3;GRAV orbit
11;2018 February 7;13:51:30;13.1;205.1;GRAV orbit
12;2018 April 1;9:45:43;13.9;114.6;partial turn orbit
13;2018 May 24;5:40:09;14.8;24;GRAV orbit
14;2018 July 16;5:17:39;15.7;68.7;GRAV orbit
15;2018 September 7;1:11:57;16.6;338.2;GRAV orbit
16;2018 October 29;21:06:17;17.4;247.6;GRAV orbit
17;2018 December 21;17:00:27;18.1;157;GRAV orbit
18;2019 February 12;17:34:16;18.9;235.3;GRAV orbit
19;2019 April 6;12:14:00;19.7;99.7;MWR cross-track orbit
20;2019 May 29;8:08:14;20.3;9.1;partial turn orbit
21;2019 July 21;4:02:44;21;278.6;GRAV orbit
22;2019 September 12;3:40:47;21.7;323.3;GRAV orbit
23;2019 November 3;22:18:14;22.5;186.2;GRAV orbit
24;2019 December 26;17:35:57;22.9;73.3;GRAV orbit
25;2020 February 17;17:51:42;23.5;140.6;GRAV orbit
26;2020 April 10;13:47:11;24.1;50.5;orbit attitude adjustment
27;2020 June 2;10:19:47;24.7;342.9;GRAV orbit
28;2020 July 25;6:15:14;25.3;252.8;GRAV orbit
29;2020 September 16;2:10:43;25.9;162.7;GRAV orbit
30;2020 November 8;1:49:34;26.6;207.7;GRAV orbit
31;2020 December 30;21:45:08;27.3;117.7;GRAV orbit
32;2021 February 21;17:40:27;28;27.7;GRAV orbit
33;2021 April 15;13:36:23;28.8;298;GRAV orbit
34;2021 June 8;7:46:00;28.3;306.6;GRAV orbit
35;2021 July 21;8:14:53;29.1;316.4;GRAV orbit
36;2021 September 2;22:42:43;29.9;113.5;GRAV orbit
37;2021 October 16;17:13:28;30.7;57.5;GRAV orbit
38;2021 November 29;14:13:26;31.5;91.7;GRAV orbit
39;2022 January 12;10:32:56;32.3;101.5;GRAV orbit
40;2022 February 25;1:58:52;33.1;293.9;GRAV orbit
41;2022 April 9;15:49:13;34;68.5;GRAV orbit
42;2022 May 23;2:15:47;34.9;80;GRAV orbit
43;2022 July 5;9:17:20;35.7;327.6;GRAV orbit
44;2022 August 17;14:45:30;36.6;158.9;GRAV orbit
45;2022 September 29;17:11:30;37.4;240;GRAV orbit
46;2022 November 6;21:38:26;38.3;1.4;GRAV orbit
47;2022 December 15;3:23:21;39.1;170.1;GRAV orbit
48;2023 January 22;5:43:28;40.1;215.1;GRAV orbit
49;2023 March 1;5:53:18;41;181.4;GRAV orbit
50;2023 April 8;9:46:25;41.9;282.6;GRAV orbit
51;2023 May 16;7:31:53;42.8;161.7;GRAV orbit
52;2023 June 23;6:55:03;43.7;99.8;GRAV orbit
53;2023 July 31;9:05:42;44.5;139.2;GRAV orbit
54;2023 September 7;11:58:02;45.4;203.9;GRAV orbit
55;2023 October 15;10:53:00;46.2;125.1;GRAV orbit
56;2023 November 22;12:17:18;47.1;117.6;GRAV orbit
57;2023 December 30;12:36:21;47.4;88.7;GRAV orbit
58;2024 February 3;21:47:29;48.5;289.7;GRAV orbit
59;2024 March 7;15:42:51;49.4;355.9;GRAV orbit
60;2024 April 9;8:48:18;50.4;32.9;GRAV orbit
61;2024 May 12;3:38:37;51.3;132.8;GRAV orbit
62;2024 June 13;19:53:47;52.2;138.9;GRAV orbit
63;2024 July 16;14:33:56;53.1;232.6;GRAV orbit
64;2024 August 18;6:57:05;54;243.4;GRAV orbit
65;2024 September 20;2:28:50;54.9;8.3;GRAV orbit
66;2024 October 22;18:10:59;55.8;354.3;GRAV orbit
67;2024 November 24;13:05:24;56.6;96.5;GRAV orbit
68;2024 December 27;5:22:27;57.5;103.6;GRAV orbit
69;2025 January 28;23:05:08;58.4;162.4;GRAV orbit
70;2025 March 2;16:04:28;59.3;195;GRAV orbit
71;2025 April 4;9:30:50;60.1;243.9;GRAV orbit
72;2025 May 7;3:01:28;61;295.3;GRAV orbit
73;2025 June 8;20:30:45;61.8;346;GRAV orbit
74;2025 July 11;13:40:11;62.7;24.5;GRAV orbit
75;2025 August 13;7:06:46;63.5;73.4;GRAV orbit
76;2025 September 14;23:42:30;64.24;91.5;GRAV orbit
77;2025 October 20;15:31:07;65;210.9;GRAV orbit
